Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,403.23,408.98,397.89,403.49,403.49,68834974
2022-01-04,404.04,405.00,401.15,402.54,402.54,62247074
2022-01-05,404.72,407.93,402.09,405.26,405.26,69906969
2022-01-06,401.70,401.70,395.80,399.77,399.77,39835818
2022-01-07,399.58,404.20,393.84,399.43,399.43,83655788
2022-01-10,393.43,393.43,386.73,390.44,390.44,63867607
2022-01-11,390.33,391.03,385.91,388.79,388.79,46639544
2022-01-12,390.69,394.60,390.69,392.98,392.98,45475351
2022-01-13,392.42,396.25,389.83,392.71,392.71,71456339
2022-01-14,389.92,389.92,384.80,387.97,387.97,69230712
2022-01-17,387.54,387.54,379.19,382.33,382.33,48387043
2022-01-18,381.67,387.88,381.52,384.63,384.63,54781595
2022-01-19,384.66,391.21,383.46,386.94,386.94,48137080
2022-01-20,387.72,390.17,382.38,385.50,385.50,60476314
2022-01-21,389.40,391.85,389.40,390.68,390.68,56107998
2022-01-24,374.40,374.40,370.13,372.77,372.77,78038985
2022-01-25,371.96,375.93,371.96,373.91,373.91,67048089
2022-01-26,375.44,375.44,371.71,373.60,373.60,48169452
2022-01-27,373.34,373.34,366.95,371.17,371.17,66947474
2022-01-28,369.29,372.17,365.71,369.87,369.87,61517683
2022-01-31,368.15,368.15,365.88,366.79,366.79,76583276
2022-02-01,365.72,365.72,360.93,364.24,364.24,59299523
2022-02-02,365.10,367.46,362.99,365.23,365.23,62490179
2022-02-03,365.56,369.99,364.63,366.83,366.83,71496553
2022-02-04,366.13,368.57,363.59,366.76,366.76,60878792
2022-02-07,358.61,358.61,355.56,357.18,357.18,46010869
2022-02-08,358.94,359.39,356.08,357.41,357.41,38542867
2022-02-09,356.70,356.70,352.52,354.16,354.16,63552154
2022-02-10,357.37,364.74,357.37,361.09,361.09,56552559
2022-02-11,358.83,358.83,352.88,356.18,356.18,39920893
2022-02-14,346.54,346.54,340.90,344.33,344.33,57430677
2022-02-15,350.10,354.33,350.10,352.18,352.18,78067455
2022-02-16,349.58,349.58,343.44,347.81,347.81,81318349
2022-02-17,344.37,344.37,338.08,341.77,341.77,37931769
