Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,132.169998,135.169998,131.539993,134.660004,122.977821,27295100
2019-01-03,133.910004,134.639999,131.649994,132.250000,120.776909,29294600
2019-01-04,133.919998,137.600006,133.710007,137.190002,125.288330,35355300
2019-01-07,137.259995,140.369995,136.740005,139.589996,127.480118,30477900
2019-01-08,140.800003,141.789993,139.389999,141.729996,129.434464,27320900
2019-01-09,142.220001,143.389999,141.619995,142.899994,130.502960,25764600
2019-01-10,142.059998,143.720001,141.350006,143.639999,131.178787,22896800
2019-01-11,143.009995,143.990005,142.679993,143.679993,131.215271,22428400
2019-01-14,142.820007,143.440002,142.089996,142.250000,129.909393,29185000
2019-01-15,142.649994,143.649994,142.089996,143.449997,131.005264,25678900
2019-01-16,143.679993,145.250000,143.669998,144.520004,131.982483,20827300
2019-01-17,143.990005,146.330002,143.970001,145.830002,133.178802,19273400
2019-01-18,146.600006,147.919998,146.000000,147.330002,134.548645,28306700
2019-01-22,146.460007,146.759995,144.050003,145.000000,132.420822,27741100
2019-01-23,145.320007,146.179993,143.460007,144.600006,132.055496,20621300
2019-01-24,144.429993,145.759995,144.330002,145.470001,132.850052,16976300
2019-01-25,146.619995,147.639999,146.429993,147.339996,134.557755,22266900
2019-01-28,145.960007,146.910004,145.369995,146.550003,133.836334,22784700
2019-01-29,146.710007,146.820007,145.880005,146.199997,133.516693,12084800
2019-01-30,146.979996,148.339996,145.679993,147.800003,134.977875,25516900
2019-01-31,147.610001,149.300003,147.529999,149.059998,136.128586,27252900
2019-02-01,149.350006,149.679993,148.580002,149.179993,136.238144,17057900
2019-02-04,149.410004,150.970001,148.880005,150.960007,137.863754,21301700
2019-02-05,151.009995,151.600006,150.240005,151.119995,138.009872,18295900
2019-02-06,151.039993,151.369995,150.100006,150.929993,137.836349,13720600
2019-02-07,149.919998,150.699997,148.389999,149.690002,136.703964,22850800
2019-02-08,149.059998,149.899994,148.500000,149.850006,136.850021,13463000
2019-02-11,150.289993,151.149994,149.630005,151.100006,137.991638,16374800
2019-02-12,151.919998,153.190002,151.880005,152.990005,139.717651,20779900
2019-02-13,153.419998,153.759995,152.699997,153.419998,140.110306,15534500
2019-02-14,152.580002,154.369995,152.399994,153.770004,140.429993,18251000
2019-02-15,154.779999,156.240005,154.270004,156.220001,142.667404,27240200
2019-02-19,155.550003,157.100006,155.550003,156.649994,143.060165,15856900
2019-02-20,156.660004,157.580002,156.529999,157.389999,143.735962,18317400
2019-02-21,157.130005,157.369995,156.059998,156.789993,143.187988,17497000
2019-02-22,157.270004,158.270004,157.100006,158.149994,144.430038,20411800
2019-02-25,159.080002,159.500000,158.089996,158.190002,144.466507,17957100
2019-02-26,158.009995,158.190002,156.889999,157.100006,143.471130,21497300
2019-02-27,156.490005,157.440002,156.119995,157.320007,143.672012,18194900
2019-02-28,157.089996,157.479996,156.369995,156.779999,143.178833,18155300
2019-03-01,157.949997,158.339996,156.750000,158.240005,144.512238,19247100
2019-03-04,158.539993,158.779999,155.589996,156.809998,143.206253,23301800
2019-03-05,156.940002,156.949997,155.960007,156.080002,142.539612,16798200
2019-03-06,156.020004,156.080002,152.880005,153.020004,139.745026,29604600
2019-03-07,153.020004,153.139999,151.369995,151.679993,138.521301,26822500
2019-03-08,150.839996,151.759995,150.610001,151.639999,138.484741,20466800
2019-03-11,152.110001,154.309998,151.899994,154.289993,140.904892,20854500
2019-03-12,154.399994,154.979996,153.800003,154.369995,140.977905,18966800
2019-03-13,154.919998,155.729996,154.750000,154.979996,141.535004,24109100
2019-03-14,154.899994,155.020004,154.199997,154.350006,140.959625,14217500
2019-03-15,154.529999,155.869995,154.330002,154.759995,141.334091,22025900
2019-03-18,155.059998,156.449997,154.479996,155.750000,142.238235,24510200
2019-03-19,156.479996,156.529999,154.570007,154.960007,141.516754,18633100
2019-03-20,154.539993,155.419998,152.410004,153.259995,140.337326,29463200
2019-03-21,152.729996,156.059998,152.729996,155.270004,142.177887,31845000
2019-03-22,154.199997,154.539993,149.570007,149.619995,137.004272,40663000
2019-03-25,149.479996,151.320007,148.410004,150.279999,137.608612,26454700
2019-03-26,151.470001,152.820007,150.789993,151.860001,139.055389,21308600
2019-03-27,151.710007,152.210007,149.479996,151.270004,138.515152,23477100
2019-03-28,151.789993,152.929993,150.929993,152.619995,139.751312,19473300
2019-03-29,153.679993,153.970001,152.100006,153.089996,140.181671,28298900
2019-04-01,154.289993,154.919998,153.720001,154.759995,141.710815,20075200
2019-04-02,154.869995,154.880005,153.509995,154.360001,141.344574,18253500
2019-04-03,155.740005,156.149994,154.729996,155.160004,142.077148,19554700
2019-04-04,155.279999,156.009995,154.839996,155.919998,142.773026,15909500
2019-04-05,156.300003,157.470001,156.190002,157.380005,144.109940,21379000
2019-04-08,156.850006,157.500000,156.070007,157.119995,143.871872,14202400
2019-04-09,156.460007,156.699997,154.910004,155.199997,142.113754,18534200
2019-04-10,155.479996,157.360001,155.330002,157.309998,144.045807,18938800
2019-04-11,157.520004,157.679993,156.809998,157.110001,143.862686,12218700
2019-04-12,158.130005,158.160004,157.110001,157.679993,144.384644,14120300
2019-04-15,157.949997,158.100006,156.500000,157.169998,143.917664,10964000
2019-04-16,157.710007,157.899994,156.979996,157.539993,144.256454,16782900
2019-04-17,158.089996,158.110001,155.199997,156.100006,142.937912,17108500
2019-04-18,156.110001,156.279999,154.660004,155.639999,142.516678,23276300
2019-04-22,155.309998,155.809998,154.520004,155.229996,142.141190,15596800
2019-04-23,155.369995,158.050003,155.360001,157.570007,144.283890,23396100
2019-04-24,157.619995,158.690002,157.369995,158.059998,144.732590,18053100
